 10859| 516|  7879
 10934| 519|  8240
 10939| 520|  8241
 10939| 520|  8241
 10982| 522|  8387
 11154| 530|  8544
 11155|    |
 11171| 531|  8497
 11241| 533|  8704
 11257| 534|  8588
 11291| 536|  8714
 11353| 539|  8645
 11415| 542|  8886
 11428| 543|  8814
 11443| 544|  8796
 11502| 546|  8832
 11502| 546|  8832
 11503| 545|
 11503| 545|
 11529| 548|  9009
 11559| 549|  8833
 11604| 550|  8366
 11636| 553|  8903
 11695| 555|  8837
 11733|    |  8751
 11749| 557|  9021
 11753| 558|  8882
 11763| 559|  8993
 11763| 559|  8993
 11909| 563|  9110
 11930| 565|  9061
 11937| 566|  9007
 11949| 568|  9222
 11973| 569|  9153
 11977| 570|  8928
 12020|    |  9165
 12021|    |  9155
 12111| 575|  9480
 12211|    |  9383
 12216| 580|  9598
 12230| 581|  9727
 12235| 582|  9353
 12255| 583|  9326
 12274| 585|  9347
 12279| 586|  9564
 12301| 589|  9573
 12303| 590|  9505
 12311| 591|  9236
 12339| 592|  9763
 12363| 593|  8991
 12438| 594|  9440
 12446| 595|  9487
 12446| 595|  9487
 12447| 596|
 12447| 596|
 12471| 599|  9570
 12524| 602|  9459
 12533| 603|  9640
 12533| 603|  9640
 12534| 604|
 12534| 604|
 12558| 605|  9621
 12573| 607|  9589
 12641| 610|  9631
 12767| 612|  9677
 12800|    | 10031
 12869| 613|  9836
 12885| 615|  9859
 12929| 617|  9884
 13041| 620|  9977
 13161| 622| 10064
 13174| 623| 10053
 13267| 627| 10227
 13294| 628| 10176
 13295| 629| 10180
 13325| 631| 10155
 13363| 633| 10203
 13372| 634| 10220
 13421| 635| 10212
 13468| 639| 10234
 13474| 640| 10438
 13480| 642| 10280
 13480| 642| 10280
 13520| 643| 10340
 13530| 645| 10366
 13555| 646| 10306
 13596| 648| 10328
 13611| 649| 10324
 13611| 649| 10324
 13612| 650| 10305
 13709| 652| 10320
 13869| 655| 10559
 13871| 656| 10540
 13872| 657| 10535
 13974| 660| 10644
 13982| 661| 10718
 13994| 662| 10729
 14055| 664| 10670
 14129| 666| 10642
 14141| 667| 10418
 14191| 669| 10732
 14212| 670| 10819
 14228| 674| 10602
 14252| 675| 10793
 14287| 678| 10513
 14386| 681| 10826
 14392| 682| 10944
 14489| 685| 11060
 14652| 689| 11021
 14690| 691| 11046
 14770| 694| 11220
 14802| 695| 11072
 14818| 696| 11279
 14872| 699| 11313
 14951| 702| 11249
 15004| 704| 11261
 15008| 705| 11001
 15089| 707| 11569
 15130| 708| 11345
 15138| 709| 11465
 15176| 712| 11432
 15228|    | 11427
 15233| 714| 11258
 15248| 715| 11095
 15257| 717| 11486
 15318| 718| 11484
 15335| 720| 11548
 15371| 721| 11407
 15427| 724| 11477
 15550| 729| 11678
 15596| 731| 11698
 15656| 736| 11784
 15779| 739| 11791
 15798| 740| 11783
 15814| 741| 11843
 15975| 744| 11867
 16046| 749| 11918
 16058| 750| 12086
 16074| 752| 12002
 16141|    | 12048
 16161| 754| 12093
 16212| 759| 12107
 16232| 764| 12184
 16234| 763| 12153
 16246| 765| 12189
 16307| 767| 12122
 16400| 771| 12247
 16417| 772| 12186
 16432| 773| 12332
 16522| 776| 11757
 16538| 777| 12288
 16555| 778| 12225
 16582| 779| 12387
 16620| 781| 12390
 16628| 782| 12489
 16727| 785| 12692
 16739| 788| 12623
 16754| 789| 12413
 16765| 790| 12530
 16811| 793| 12640
 16815| 794| 12486
 16861| 797| 12647
 16895| 799| 12777
 16901| 800| 12768
 16908| 801| 12719
 16920| 802| 12484
 16970| 804| 12706
 16978| 806| 12394
 17017| 808| 12784
 17036| 809| 12803
 17051| 810| 12653
 17081| 811| 12770
 17093| 812| 12832
 17094| 813| 12828
 17138| 815| 13133
 17206| 818| 12843
 17361| 824| 13061
 17459| 828| 13108
 17463| 829| 13367
 17504| 833| 12871
 17504| 833| 12871
 17506| 834| 13268
 17528| 835| 13040
 17543| 836| 13165
 17566| 837| 12876
 17573| 838| 13209
 17584| 840| 13254
 17652| 841| 13147
 17709| 843| 13328
 17713| 844| 13197
 17729| 845| 13202
 17769| 847| 13327
 17793| 848| 13225
 17824| 850| 13288
 17829| 851| 13265
 17848| 852| 13141
 17878| 854| 13531
 17879|    |
 17904| 855| 13490
 18091|    | 13579
 18149| 863| 13473
 18191| 867| 13654
 18191| 867| 13654
 18256| 869| 13702
 18256| 869| 13702
 18293| 872| 13244
 18296| 873| 13775
 18322| 874| 13701
 18404| 878| 13834
 18411| 879| 13879
 18449| 882| 13905
 18454| 883| 13782
 18519| 887| 13914
 18519| 887| 13914
 18520| 888|
 18535| 889| 13835
 18604| 896| 13954
 18622| 897| 13847
 18622| 897| 13847
 18623| 898|
 18633| 899| 13951
 18692| 901| 13942
 18760| 904| 14040
 18769| 905| 14109
 18784| 907| 14060
 18784| 907| 14060
 18803|    | 14150
 18866| 909| 13884
 18883| 910| 14143
 18884| 911| 14135
 18907| 914| 14086
 18925| 915| 14328
 18926|    |
 18953| 917| 14168
 18970| 918| 14382
 18978| 919| 14146
 19058| 921| 14354
 19107| 925| 14293
 19134| 927| 14376
 19135| 928|
 19319| 934| 14240
 19356| 936| 14576
 19373| 937| 14632
 19374| 938| 14514
 19400| 939| 14131
 19460| 940| 14586
 19476| 941| 14668
 19548| 944| 14677
 19656| 947| 14817
 19787| 951| 14838
 19832| 954| 14893
 19832| 954| 14893
 19926| 958| 14915
 19994| 962| 14954
 20010| 963| 14879
 20010| 963| 14879
 20150| 972| 15110
 20315| 982| 15338
 20320| 984| 15197
 20365| 987| 15404
 20395| 988| 15244
 20418| 989| 15444
 20559| 992| 15383
 20610| 994| 15382
 20618| 995| 15514
 20630| 996| 15457
 20630| 996| 15457
 20663|1000| 15557
 20663|1000| 15557
 20677|1002| 15648
 20720|1003| 15474
 20756|1005| 15627
 20756|1005| 15627
 20766|1006| 15330
 20791|1007| 15619
 20791|1007| 15619
 20794|1008| 15510
 20807|1010| 15371
 20825|1012| 15696
 20893|1015| 15737
 20893|1015| 15737
 20902|1017| 15863
 21017|1022| 15861
 21024|1025| 15201
 21050|1027| 15870
 21120|1030| 15900
 21364|1038| 16083
 21423|1042| 15987
 21428|1044| 16244
 21467|1048| 16181
 21552|1052| 16335
 21574|1054| 16112
 21635|1058| 16156
 21686|1061| 16322
 21754|1066| 16369
 21770|1069| 16499
 21790|1070| 16341
 21933|1079| 16511
 22001|1083| 16245
 22049|1084| 16537
 22091|1086| 16664
 22192|1087| 16826
 22203|1088| 16611
 22374|    | 16859
 22470|1100| 16803
 22484|1101| 16852
 22663|1106| 16870
 22713|1111| 17027
 22789|1114| 17007
 22796|1115| 17103
 22805|1118| 17181
 22920|1121| 17167
 22928|1122| 17358
 22951|1123| 17313
 23016|1126| 17309
 23180|1131| 17448
 23183|1132| 17408
 23227|1134| 17304
 23230|1135| 17529
 23249|1136| 17378
 23288|1140| 17489
 23302|1142| 17499
 23319|1143| 17351
 23324|1144| 17527
 23338|1145| 17531
 23363|1146| 17457
 23401|1148| 17959
 23408|1149| 17573
 23413|1150| 17506
 23432|1151| 17579
 23441|1152| 17588
 23441|1152| 17588
 23466|1153| 17563
 23480|1156| 17608
 23607|    |
 23614|1162| 17593
 23629|    |
 23629|    |
 23630|1165| 17702
 23738|1171| 17618
 23754|1173| 17651
 23793|1174| 17771
 23817|1175| 17440
 23822|    | 17832
 23848|1177| 17886
 23850|1178| 17847
 23862|1180| 17851
 23862|1180| 17851
 23878|1181| 17717
 23940|1184| 17738
 24071|1189| 17797
 24072|1190|
 24160|1195| 17874
 24263|1199| 18089
 24388|1202| 18141
 24398|1203| 18246
 24512|1208| 17678
 24534|1209| 18350
 24546|1210| 18453
 24554|1211| 18255
 24555|1212|
 24587|1213| 18216
 24626|1214| 18213
 24626|1214| 18213
 24740|1218| 18471
 24760|1220| 18532
 24769|1221| 18485
 24912|1228| 18614
 25025|1231| 18543
 25204|1239| 18724
 25267|1240| 18673
 25340|1244| 18788
 25422|1247| 18597
 25490|1251| 18907
 25555|1252| 19009
 25558|1253| 18957
 25604|1256| 19038
 25642|1261| 19167
 25680|1262| 19076
 25705|1264| 18744
 25728|1266| 18772
 25823|1268| 19171
 25867|1269| 19205
 25940|1273| 19343
 25940|1273| 19343
 25975|1277| 19302
 25998|1278| 19335
 26162|1283| 19388
 26162|1283| 19388
 26322|1287| 19513
 26409|1290| 19483
 26462|1292| 19554
 26574|1298| 19587
 26612|1302| 19515
 26630|1303| 19812
 26673|1306| 19811
 26690|1309| 19719
 26722|1311| 19740
 26846|1318| 19777
 26911|1319| 19877
 26912|1320| 19860
 26961|1324| 20070
 26961|1324| 20070
 26965|1325| 19849
 26967|1326| 19747
 26976|    |
 27045|1329| 19990
 27045|1329| 19990
 27176|1331| 20087
 27192|1333| 20234
 27256|1336| 19780
 27290|1338| 19893
 27295|1339| 20171
 27309|1341| 20186
 27348|1343| 20252
 27371|1346| 20205
 27376|1347| 20042
 27382|1348| 20250
 27383|    | 20215
 27396|1350| 20354
 27397|1351| 20219
 27442|1355| 19921
 27459|1356| 20261
 27563|1363| 20271
 27628|1368| 20400
 27638|1369| 20430
 27657|1372| 20020
 27697|1373| 20455
 27697|1373| 20455
 27749|1376| 20484
 27777|1377| 20579
 27778|1378| 20533
 27786|1379| 20591
 27819|1380| 20542
 27819|1380| 20542
 27820|1381| 20522
 27861|1383| 20507
 27934|1387| 20635
 27934|1387| 20635
 27946|1388| 20641
 27946|1388| 20641
 27962|1389| 20648
 27962|1389| 20648
 27991|1391| 20661
 28024|1392| 20711
 28024|1392| 20711
 28028|1393| 20535
 28028|1393| 20535
 28052|1394| 20713
 28093|1395| 20384
 28100|1396| 20732
 28149|1399| 20789
 28149|1399| 20789
 28292|1407| 20877
 28294|1408| 20873
 28305|1409| 20889
 28307|1411| 20885
 28319|1412| 20894
 28355|1414| 20901
 28375|1415| 20884
 28446|1417| 21148
 28485|1422| 20995
 28525|1426| 20049
 28546|1428| 21039
 28556|1430| 21036
 28595|    | 21082
 28677|1432| 21137
 28704|1434| 21242
 28749|1437| 21139
 28873|1443| 21060
 28910|1444| 21273
 29009|1449| 21278
 29064|1451| 21296
 29085|1453| 21248
 29094|1454| 21476
 29116|1456| 20297
 29139|1457| 21421
 29140|1458| 21402
 29248|1463| 21444
 29291|1464| 21393
 29305|1465| 21281
 29316|1466| 21730
 29317|1467| 21727
 29335|1469| 21515
 29375|1472| 21588
 29388|1473| 21589
 29388|1473| 21589
 29391|1474| 21547
 29479|1478| 21673
 29488|1479| 21683
 29503|1481| 21594
 29589|1484| 21735
 29589|1484| 21735
 29712|1492| 21479
 29722|1494| 21928
 29755|1496| 21763
 29763|1497| 21881
 29763|1497| 21881
 29859|1499| 21961
 29875|1502| 21770
 29992|1503| 21861
 30020|1505| 21986
 30021|1506|
 30076|1508| 22024
 30121|1511| 22287
 30185|1516| 21914
 30202|1518| 21998
 30211|1520| 22109
 30478|1530| 22040
 30495|1532| 22263
 30504|1533| 22453
 30605|1537| 22441
 30606|1538| 22325
 30608|1539| 22280
 30612|1541| 21949
 30614|1542| 22783
 30652|1543| 22449
 30652|1543| 22449
 30739|1544| 22509
 30780|1547| 22565
 30814|1549| 22479
 30834|1551| 22678
 30836|1552| 22549
 30836|1552| 22549
 30958|1555| 22854
 30959|1556| 22667
 30985|1557| 22488
 31109|1560| 22701
