H|        1092| |00 13 37.81|+80 39 55.2|11.14| |H|003.40754280|+80.66533940| |  51.12|  250.86|  182.10|  2.90|  2.74|  3.31|  3.49|  3.04|-0.09| 0.00| 0.21| 0.04|-0.05| 0.02|-0.06|-0.09| 0.12|-0.17|  1|     |  1092|12.387|0.215|11.365|0.146| | 1.556|0.082|G|2.46|0.34|I| |11.1626|0.0049|0.051|122| |11.07|11.23|       | | | |          | |  | 1|X| | |  |   |       |     |     |    | |G| |      |          |          |          |2.46|M0          |S 
H|        1242| |00 15 27.67|-16 07 56.3|11.49| |G|003.86528051|-16.13230661| | 191.86|  728.18| -617.48| 12.84| 10.11| 17.24| 18.76| 10.67| 0.37| 0.08|-0.12|-0.22|-0.13| 0.41|-0.12|-0.43| 0.24| 0.25|  4|     |  1242|13.066|0.508|11.817|0.292| | 1.750|0.010|G|3.01|0.03|I| |11.4323|0.0060|0.043| 91| |11.32|11.50|       | | | |          | |  | 1|X| | |  |   |       |     |     |    | |G| |      |          |          |          |3.01|M:          |S 
H|        1292| |00 16 11.24|-79 51 03.7| 6.59|1|G|004.04683817|-79.85104079| |  56.76|  433.87|  -57.95|  0.46|  0.46|  0.53|  0.53|  0.48| 0.08|-0.03|-0.20| 0.23| 0.08|-0.05| 0.09| 0.04| 0.03| 0.17|  0|-0.02|  1292| 7.530|0.006| 6.672|0.004| | 0.749|0.004|G|0.79|0.00|H| | 6.7233|0.0014|0.013|123| | 6.70| 6.75|       |M| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  1237|          |C-80     9|P-80     7|0.79|G6V         |1 
H|        1368| |00 17 05.94|+40 56 53.1| 8.99| |G|004.27473316|+40.94809407| |  66.71|  567.93|   82.78|  0.73|  0.59|  1.12|  0.99|  0.64| 0.09| 0.05| 0.08|-0.08|-0.01|-0.10| 0.00| 0.24| 0.03| 0.11|  0|-1.96|  1368|10.695|0.044| 9.168|0.020| | 1.370|0.004|G|1.61|0.01|I| | 9.0756|0.0014|0.016|142| | 9.05| 9.11|       |C| | |          | |  | 1| | | |  |   |       |     |     |    | | | |      |B+40   45 |          |          |1.61|M0          |S 
H|        1463| |00 18 16.59|+10 12 10.3|10.88| |H|004.56912088|+10.20286093| |  61.67|   -0.65|  -32.30|  1.74|  1.39|  2.20|  1.95|  1.40| 0.63|-0.20| 0.05|-0.12|-0.26| 0.14|-0.28|-0.22| 0.13| 0.59|  1| 0.80|  1463|12.457|0.193|10.999|0.083| | 1.479|0.012|G|2.10|0.02|A| |10.9469|0.0033|0.036|125| |10.88|11.01|       | | | |          | |  | 1| | | |  |   |       |     |     |    | |G| |      |          |          |          |2.10|M0          |S 
H|        1475| |00 18 20.54|+44 01 19.0| 8.09|1|G|004.58559067|+44.02195597| | 280.27| 2888.92|  410.58|  0.67|  0.55|  1.05|  0.75|  0.63|-0.02| 0.00| 0.08|-0.28| 0.14|-0.10| 0.12| 0.18| 0.00| 0.06|  0| 0.93|  1475|10.120|0.047| 8.284|0.020| | 1.560|0.040|G|2.48|0.17|I| | 8.1451|0.0013|0.018|144| | 8.12| 8.18|       |U| | |00184+4401|I| 1| 1| | |S|  |   |       |     |     |    | | | |  1326|B+43   44 |          |          |2.48|M1V         |X 
H|        1599| |00 20 01.91|-64 52 39.4| 4.23| |G|005.00797581|-64.87762320| | 116.38| 1707.56| 1165.36|  0.46|  0.51|  0.64|  0.52|  0.58| 0.04|-0.05|-0.39|-0.10|-0.06| 0.14| 0.00| 0.07|-0.04| 0.01|  0|-0.73|  1599|      |     |      |     | | 0.576|0.010|G|0.65|0.02|A| | 4.3443|0.0006|0.005|134| | 4.34| 4.35|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |  1581|          |          |P-65    13|0.65|F9V         |X 
H|        1696| |00 21 19.56|-45 44 40.0|10.41| |G|005.33150549|-45.74443728| |  55.68|   70.29| -815.44|  1.40|  1.44|  2.02|  1.71|  1.57| 0.14| 0.01|-0.24| 0.12|-0.14| 0.19|-0.11|-0.47| 0.11| 0.13|  0|-1.10|  1696|      |     |      |     | | 1.475|0.016|G|1.92|0.01|A| |10.4693|0.0037|0.034|101| |10.38|10.52|       | | | |          | |  | 1| | | |  |   |       |     |     |    | | | |      |          |C-46    76|P-46    29|1.92|M0          |S 
H|        1720| |00 21 37.52|-46 05 30.3|12.21|2|H|005.40633478|-46.09173618| |  50.10| -301.15| -359.54|  3.20|  2.74|  3.98|  4.34|  3.68| 0.20|-0.17|-0.11| 0.22| 0.09|-0.04| 0.07|-0.31| 0.03| 0.18|  0| 4.00|  1720|      |     |      |     | | 1.537|0.082|G|2.35|0.58|I| |12.2438|0.0122|0.083| 97| |11.87|12.37|       |U| | |          | |  | 1| | |S|  |   |       |     |     |    | |G| |      |          |          |          |2.35|M6          |S 
H|        1734| |00 21 56.00|-31 24 20.1|11.16| |G|005.48333925|-31.40558641| |  54.91|   61.82| -200.07|  1.78|  1.45|  2.19|  2.20|  2.28| 0.18|-0.08| 0.05|-0.28|-0.17| 0.14|-0.17|-0.39|-0.13| 0.26|  0|-0.33|  1734|      |     |      |     | | 1.485|0.015|G|1.98|0.09|I| |11.1778|0.0034|0.026| 77| |11.13|11.23|       |C| | |          | |  | 1| | | |  |   |       |     |     |    | |G| |      |          |          |          |1.98|M2V:        |S 
