7513, 4.100000, 24.199904, 41.406385, 74.250000, 0.536000, F8V,01367+4125,HD 9826,HR 458,
7646, 11.600000, 24.623497, 0.651183, 52.950000, 1.496000, K:,0,0,0,
7751, 5.760000, 24.946846, -56.196441, 122.750000, 0.880000, K0V,01398-5612,HD 10360,HR 486,
7765, 8.680000, 24.983271, 15.259445, 61.300000, 0.000000, K0,01399+1515,0,0,
7918, 4.960000, 25.443815, 42.613807, 79.090000, 0.618000, G2V,0,0,0,
7978, 5.520000, 25.621463, -53.740575, 57.630000, 0.551000, F8V,0,HD 10647,HR 506,
7981, 5.240000, 25.624791, 20.270151, 133.910000, 0.836000, K1V,01425+2016,HD 10476,HR 493,
8051, 10.930000, 25.835109, 4.323515, 88.860000, 1.525000, M2V:,0,0,0,
8070, 8.420000, 25.921860, 63.824815, 74.450000, 1.202000, K5V,0,0,0,
8102, 3.490000, 26.021364, -15.939556, 274.170000, 0.727000, G8V,01441-1557,HD 10700,HR 509,
8362, 5.630000, 26.933601, 63.853101, 100.240000, 0.804000, K0V,01477+6351,0,0,
8691, 11.800000, 27.951454, -10.802159, 56.350000, 1.475000, M4,0,0,0,
8709, 12.440000, 28.012326, 47.001551, 63.080000, 0.170000, DAs,0,0,0,
8768, 8.890000, 28.202663, -22.434855, 90.170000, 1.424000, K5/M0V,0,0,0,
8796, 3.420000, 28.270416, 29.579397, 50.870000, 0.488000, F6IV,01531+2935,HD 11443,HR 544,
8903, 2.640000, 28.659788, 20.808299, 54.740000, 0.165000, A5V...,0,HD 11636,HR 553,
9007, 3.690000, 28.986802, -51.609587, 57.190000, 0.844000, G5IV,01560-5137,HD 11937,HR 566,
9044, 8.610000, 29.133206, -60.227100, 50.760000, 1.143000, K5V,0,0,0,
9291, 12.210000, 29.846480, 58.521608, 83.200000, 1.540000, M4Ve,0,0,0,
9724, 10.190000, 31.266835, -17.614209, 105.940000, 1.514000, M3,0,0,0,
9786, 12.150000, 31.453788, -30.176893, 105.640000, 1.719000, K:...,0,0,0,
10072, 11.780000, 32.399261, -14.358219, 50.340000, 1.517000, DEFAULT,0,0,0,
10138, 6.120000, 32.600007, -50.825315, 91.630000, 0.812000, K0V,0,0,0,
10279, 10.040000, 33.091740, 3.580123, 96.280000, 1.431000, M3V:,0,0,0,
10395, 10.310000, 33.471266, -32.039949, 80.790000, 1.479000, DEFAULT,0,0,0,
10617, 12.020000, 34.169715, -30.989001, 70.160000, 1.583000, DEFAULT,02166-3059,0,0,
10644, 4.840000, 34.260073, 34.224830, 92.200000, 0.607000, G0V,02170+3414,HD 13974,HR 660,
10798, 6.330000, 34.744358, -25.946768, 78.880000, 0.724000, G8V,0,0,0,
