what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1403790518543
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1403790518544
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1403790518544
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1403790518545
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1403790518546
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1403790518546
os,sysinfo,,,"win32",1403790518548
arch,sysinfo,,,"x86_64",1403790518548
ws,sysinfo,,,"win32",1403790518548
locale,sysinfo,,,"en_GB",1403790518548
processors,sysinfo,,,"4",1403790518548
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1403790518548
java.runtime.version,sysinfo,,,"1.6.0_43-b01",1403790518548
java.specification.name,sysinfo,,,"Java Platform API Specification",1403790518548
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403790518548
java.specification.version,sysinfo,,,"1.6",1403790518548
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1403790518548
java.version,sysinfo,,,"1.6.0_43",1403790518548
java.vm.info,sysinfo,,,"mixed mode",1403790518548
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1403790518548
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1403790518548
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403790518548
java.vm.specification.version,sysinfo,,,"1.0",1403790518548
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1403790518548
java.vm.version,sysinfo,,,"20.14-b01",1403790518548
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1403790537859
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1403790537870
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1403790537873
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1403790537874
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403790575096
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403790575160
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403790585619
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403790585689
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403790586517
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1403790598834
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1403790598850
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1403790598860
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1403790598864
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1403790598868
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1403790598884
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1403790598887
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1403790598914
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1403790598915
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1403790599072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790607480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790607674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403790714259
