H|        5496| |01 10 22.31|-67 26 46.8| 9.80| |G|017.59293817|-67.44634604| | 122.86|  389.20|  571.98|  6.53|  6.50|  7.53|  7.29|  6.79|-0.05|-0.02|-0.05|-0.27| 0.09| 0.14| 0.09|-0.18| 0.00|-0.02|  0|     |  5496|11.841|0.113| 9.987|0.034| | 1.568|0.028|G|2.52|0.12|I| | 9.8136|0.0028|0.020|104| | 9.76| 9.85|       |C| | |          | |  | 1|X| | |  |   |       |     |     |    | | | |      |          |C-68    47|P-68    41|2.52|K           |S 
H|        5643| |01 12 29.90|-17 00 01.9|12.10| |G|018.12459256|-17.00053959| | 269.05| 1210.09|  646.95|  4.30|  4.81|  7.57|  5.21|  3.91| 0.19|-0.10|-0.75|-0.33|-0.30| 0.41|-0.04|-0.62| 0.56| 0.62|  3| 0.61|  5643|      |     |      |     | | 1.850|0.020|G|3.15|0.02|A| |11.9597|0.0125|0.054| 37| |11.86|12.06|       | | | |          | |  | 1| | | |  |   |       |     |     |    | |G| |      |          |          |          |3.15|M5.5Ve      |K 
H|        7751| |01 39 47.24|-56 11 47.2| 5.76| |H|024.94684603|-56.19644067|B| 122.75|  286.10|   16.66|  5.17|  5.55|  1.41|  1.01|  1.41|-0.13| 0.06|-0.01|-0.02|-0.05| 0.01|-0.04| 0.06| 0.13|-0.14|  2|-1.77|  7751| 6.994|0.008| 5.951|0.005|B| 0.880|0.400|G|0.93|0.02|A| | 5.9047|0.0205|0.012|134|B| 5.89| 5.96|       |D| | |01398-5612|I| 1| 2|C| |D|BA| 12| 11.263|0.006| 0.00|0.04|S| |D| 10360|          |C-56   328|P-56   329|0.93|K0V         |S 
H|        7981| |01 42 29.95|+20 16 12.5| 5.24| |G|025.62479083|+20.27015091|+| 133.91| -302.12| -677.40|  1.06|  0.85|  0.91|  1.94|  1.60| 0.27| 0.17|-0.20| 0.38| 0.34|-0.23| 0.17| 0.70|-0.23| 0.52|  0| 1.63|  7981|      |     |      |     | | 0.836|0.008|G|0.88|0.01|G| | 5.3905|0.0010|0.005| 52| | 5.38| 5.41|       | | | |01425+2016|I| 1| 1|O| | |  |   |       |     |     |    |S| | | 10476|B+19  279 |          |          |0.88|K1V         |X 
H|        8102| |01 44 05.13|-15 56 22.4| 3.49| |G|026.02136441|-15.93955597| | 274.17|-1721.82|  854.07|  0.64|  0.62|  0.80|  0.83|  0.80| 0.28|-0.09|-0.20| 0.18| 0.07| 0.00| 0.09| 0.30|-0.13| 0.24|  0| 1.67|  8102|      |     |      |     | | 0.727|0.007|G|0.82|0.02|A| | 3.6295|0.0005|0.004| 73| | 3.62| 3.64|       | | | |01441-1557|I| 1| 1| | | |  |   |       |     |     |    |S| | | 10700|B-16  295 |          |          |0.82|G8V         |4 
H|        8362| |01 47 44.06|+63 51 11.2| 5.63| |G|026.93360110|+63.85310111| | 100.24|  582.05| -246.83|  0.38|  0.47|  0.68|  0.43|  0.55|-0.36| 0.21|-0.09| 0.27|-0.18| 0.07|-0.14| 0.09| 0.18|-0.37|  1|-1.34|  8362| 6.623|0.003| 5.708|0.002| | 0.804|0.010|G|0.81|0.00|G| | 5.7674|0.0008|0.009|201| | 5.75| 5.78|       | | | |01477+6351|I| 1| 1| | | |  |   |       |     |     |    |S| | | 10780|B+63  238 |          |          |0.81|K0V         |X 
H|        9724| |02 05 04.04|-17 36 51.2|10.19| |G|031.26683543|-17.61420901| | 105.94| 1317.53| -173.94|  1.43|  1.17|  2.04|  1.74|  1.37| 0.18|-0.10|-0.31| 0.13|-0.06| 0.13| 0.03| 0.03|-0.18| 0.34|  2| 2.71|  9724|12.306|0.206|10.446|0.062| | 1.514|0.020|G|2.35|0.01|A| |10.2358|0.0033|0.028| 89| |10.19|10.28|       |C| | |          | |  | 1| | | |  |   |       |     |     |    | | | |      |B-18  359 |          |          |2.35|M3          |S 
H|        9786| |02 05 48.91|-30 10 36.8|12.15| |G|031.45378802|-30.17689282| | 105.64| -527.75|  100.08|  2.41|  1.99|  3.00|  3.20|  2.10| 0.10| 0.02|-0.13| 0.11| 0.07| 0.10| 0.07| 0.13|-0.14| 0.24|  2| 1.13|  9786|      |     |      |     | | 1.719|0.032|G|2.93|0.09|I| |12.2201|0.0091|0.060|105| |12.11|12.32|       | | | |          | |  | 1| | | |  |   |       |     |     |    | |G| |      |          |C-30   731|          |2.93|K:...       |S 
H|       12114| |02 36 03.83|+06 53 00.1| 5.79| |G|039.01596864|+06.88336423| | 138.72| 1806.27| 1442.50|  1.02|  0.70|  1.04|  2.09|  0.97|-0.08| 0.11|-0.19|-0.34| 0.48|-0.27| 0.38|-0.31| 0.02|-0.44|  0| 2.31| 12114|      |     |      |     | | 0.918|0.019|G|1.06|0.02|A| | 5.9524|0.0011|0.008| 50| | 5.94| 5.97|       | | | |02361+0653|I| 1| 1| | | |  |   |       |     |     |    |S| | | 16160|B+06  398 |          |          |1.06|K3V         |X 
H|       12781| |02 44 14.95|+25 31 27.3|10.55| |H|041.06229453|+25.52424901|*| 132.42|  864.77| -367.17|  2.45|  1.64|  2.48|  2.37|  1.69| 0.25|-0.03| 0.10| 0.19|-0.07|-0.24|-0.21|-0.19| 0.33|-0.13|  0| 0.79| 12781|      |     |      |     | | 1.530|0.510|G|2.35|0.64|K| |10.5886|0.0046|0.035| 71| |10.54|10.65|       | | | |          | |  | 1|V| | |  |   |       |     |     |    | |G| |      |          |          |          |2.35|M3.5Ve      |K 
